"","language","count","positive","negative","normalized views"
"15","ruby"," 0.9303"," 0.8819","0.6332"," 0.6820"
"54","vb.net"," 0.8975"," 0.7342","0.5938"," 0.5828"
"3","c++"," 0.8955"," 0.9043","0.6618"," 0.6954"
"6","c#"," 0.8917"," 0.8737","0.5830"," 0.6263"
"9","php"," 0.8914"," 0.8502","0.5397"," 0.6330"
"2","c"," 0.8737"," 0.8827","0.6964"," 0.6587"
"55","vbscript"," 0.8515"," 0.7084","0.4823"," 0.4212"
"14","matlab"," 0.8419"," 0.8110","0.5448"," 0.6103"
"48","coffeescript"," 0.8275"," 0.8246","0.3210"," 0.4797"
"1","java"," 0.8267"," 0.8746","0.6198"," 0.6561"
"39","haskell"," 0.8211"," 0.7919","0.4526"," 0.5068"
"13","perl"," 0.8157"," 0.7061","0.4625"," 0.5239"
"28","lua"," 0.8024"," 0.7434","0.5309"," 0.4799"
"40","erlang"," 0.8008"," 0.6551","0.4226"," 0.4268"
"11","objective-c"," 0.7870"," 0.8101","0.3088"," 0.6046"
"8","sql"," 0.7765"," 0.8469","0.5484"," 0.5314"
"43","html"," 0.7565"," 0.7328","0.6038"," 0.5886"
"10","assembly"," 0.7542"," 0.7582","0.6387"," 0.4951"
"31","f#"," 0.7229"," 0.5501","0.4209"," 0.3470"
"49","common-lisp"," 0.7121"," 0.6401","0.4191"," 0.3118"
"38","awk"," 0.7120"," 0.6474","0.5821"," 0.5710"
"44","vhdl"," 0.7082"," 0.6877","0.5928"," 0.2849"
"12","delphi"," 0.7074"," 0.5736","0.5722"," 0.7057"
"23","fortran"," 0.6986"," 0.5936","0.4730"," 0.4228"
"50","d"," 0.6924"," 0.7091","0.3474"," 0.3333"
"41","bash"," 0.6807"," 0.7385","0.5925"," 0.5189"
"34","scheme"," 0.6800"," 0.6634","0.3803"," 0.4963"
"7","javascript"," 0.6778"," 0.6699","0.5949"," 0.5136"
"52","plsql"," 0.6571"," 0.7220","0.6102"," 0.5409"
"26","prolog"," 0.6266"," 0.5785","0.1922"," 0.4155"
"27","lisp"," 0.6196"," 0.5045","0.5336"," 0.2637"
"17","groovy"," 0.6108"," 0.6774","0.5693"," 0.0224"
"45","verilog"," 0.5904"," 0.7081","0.6845"," 0.2018"
"30","ada"," 0.5805"," 0.5167","0.3377"," 0.3444"
"25","scala"," 0.5700"," 0.6348","0.4482","-0.0332"
"21","sas"," 0.5324"," 0.4652","0.4530"," 0.2247"
"47","cobol"," 0.5251"," 0.2390","0.4208"," 0.2867"
"35","labview"," 0.4651"," 0.2163","0.3266"," 0.1567"
"51","netlogo"," 0.4389"," 0.3230","0.3394"," 0.0358"
"16","vba"," 0.4172"," 0.3831","0.5295"," 0.4187"
"53","powershell"," 0.3876"," 0.3917","0.4918"," 0.2940"
"46","actionscript-3"," 0.3672"," 0.2618","0.3647"," 0.4797"
"20","r"," 0.3459"," 0.3181","0.5723"," 0.3255"
"4","python"," 0.3129"," 0.3316","0.4839"," 0.1749"
"5",".net"," 0.3024"," 0.2352","0.5179"," 0.2509"
"22","abap"," 0.2880"," 0.3475","0.1557"," 0.0405"
"19","go"," 0.2525"," 0.2733","0.3175","-0.0144"
"32","apex"," 0.2471"," 0.3167","0.3012","-0.1610"
"18","swift"," 0.2221"," 0.0791","0.5330","-0.2368"
"37","julia"," 0.1807"," 0.0358","0.2954","-0.1378"
"29","rust"," 0.1659","-0.0162","0.3026","-0.0631"
"42","elixir"," 0.1317"," 0.0378","0.3690","-0.2544"
"24","dart"," 0.0480"," 0.0848","0.1251","-0.1312"
"36","typescript","-0.1049","-0.2287","0.2064","-0.3487"
"33","kotlin","-0.2260","-0.3507","0.1216","-0.2679"
