"","language","count","positive","negative","normalized views"
"11","objective-c"," 0.9260"," 0.8653","0.7442"," 0.7927"
"12","perl"," 0.9083"," 0.8796","0.8142"," 0.7502"
"46","actionscript-3"," 0.8346"," 0.8823","0.6101"," 0.7690"
"5",".net"," 0.7941"," 0.8634","0.8752"," 0.5563"
"48","coffeescript"," 0.7860"," 0.6653","0.6537"," 0.6471"
"14","ruby"," 0.7751"," 0.7629","0.8341"," 0.8642"
"54","vb.net"," 0.7578"," 0.8062","0.9018"," 0.8035"
"50","d"," 0.7307"," 0.6156","0.2929"," 0.5169"
"39","clojure"," 0.7074"," 0.5736","0.5722"," 0.7057"
"40","erlang"," 0.6999"," 0.6653","0.4680"," 0.4987"
"26","lisp"," 0.6992"," 0.7884","0.5980"," 0.4551"
"6","c#"," 0.6483"," 0.7814","0.8632"," 0.8492"
"3","c++"," 0.6090"," 0.6202","0.8482"," 0.8541"
"2","c"," 0.5870"," 0.6599","0.8538"," 0.8457"
"55","vbscript"," 0.5771"," 0.4165","0.7623"," 0.6380"
"9","php"," 0.5584"," 0.4453","0.9050"," 0.7414"
"33","scheme"," 0.5558"," 0.6010","0.5534"," 0.5703"
"38","haskell"," 0.4816"," 0.2621","0.5087"," 0.4673"
"49","common-lisp"," 0.4792"," 0.3451","0.4633"," 0.3875"
"13","matlab"," 0.4593"," 0.2784","0.8930"," 0.7507"
"1","java"," 0.4332"," 0.4082","0.8767"," 0.7865"
"8","sql"," 0.4295"," 0.4815","0.8576"," 0.7530"
"30","f#"," 0.4278"," 0.0804","0.4565"," 0.2075"
"27","lua"," 0.4018"," 0.1245","0.7657"," 0.4433"
"10","assembly"," 0.3938"," 0.3564","0.7932"," 0.5032"
"25","prolog"," 0.3446"," 0.1296","0.5385"," 0.5108"
"29","ada"," 0.3213"," 0.3530","0.4339"," 0.2652"
"43","html"," 0.2924"," 0.0942","0.8599"," 0.7143"
"22","fortran"," 0.2629"," 0.0128","0.7056"," 0.4637"
"44","vhdl"," 0.2581"," 0.1449","0.6388"," 0.3250"
"47","cobol"," 0.2546"," 0.0744","0.4136"," 0.2673"
"37","awk"," 0.2396","-0.0049","0.7435"," 0.6623"
"52","plsql"," 0.2338"," 0.4435","0.7529"," 0.6631"
"16","groovy"," 0.2315"," 0.2268","0.7602","-0.1478"
"41","bash"," 0.1864"," 0.0933","0.7402"," 0.7507"
"7","javascript"," 0.1863"," 0.0002","0.8047"," 0.5408"
"45","verilog"," 0.1108"," 0.1862","0.7241"," 0.1758"
"34","labview"," 0.0579","-0.1219","0.3836"," 0.0066"
"24","scala"," 0.0517","-0.0380","0.4604","-0.2647"
"20","sas","-0.0119","-0.2394","0.5562"," 0.0555"
"51","netlogo","-0.0879","-0.3569","0.3906","-0.2050"
"15","vba","-0.1174","-0.3239","0.6885"," 0.3986"
"21","abap","-0.1266","-0.1238","0.3025","-0.0886"
"53","powershell","-0.1325","-0.2840","0.5494"," 0.2855"
"23","dart","-0.1522","-0.3584","0.2015","-0.3029"
"4","python","-0.1711","-0.3589","0.5780"," 0.0248"
"19","r","-0.1762","-0.4114","0.6486"," 0.1854"
"31","apex","-0.2050","-0.2832","0.3978","-0.3986"
"18","go","-0.2776","-0.4815","0.3500","-0.2478"
"17","swift","-0.3185","-0.5276","0.5071","-0.3860"
"36","julia","-0.3456","-0.6130","0.3489","-0.4151"
"28","rust","-0.3461","-0.6282","0.2333","-0.2985"
"42","elixir","-0.3819","-0.5121","0.2569","-0.5107"
"32","kotlin","-0.4762","-0.6392","0.1367","-0.4774"
"35","typescript","-0.4923","-0.6688","0.2055","-0.5840"
