"","language","count","positive","negative","normalized views"
"7","javascript"," 0.9271"," 0.8317","0.8799"," 0.4594"
"41","bash"," 0.9243"," 0.8504","0.8408","-0.0701"
"24","scala"," 0.9057"," 0.8307","0.7382"," 0.7604"
"43","html"," 0.9031"," 0.8381","0.8658"," 0.1777"
"37","awk"," 0.8915"," 0.7735","0.7978"," 0.1260"
"52","plsql"," 0.8879"," 0.6242","0.7336","-0.0189"
"1","java"," 0.8868"," 0.8395","0.8680"," 0.1615"
"53","powershell"," 0.8757"," 0.7050","0.7637"," 0.6057"
"38","haskell"," 0.8718"," 0.8798","0.6541"," 0.1785"
"22","fortran"," 0.8702"," 0.7431","0.6711"," 0.2581"
"16","vba"," 0.8678"," 0.6757","0.8427"," 0.4368"
"8","sql"," 0.8639"," 0.7712","0.8498","-0.2007"
"19","r"," 0.8552"," 0.6583","0.8320"," 0.6215"
"20","sas"," 0.8537"," 0.7072","0.7488"," 0.4426"
"27","lua"," 0.8429"," 0.7973","0.7233"," 0.2751"
"4","python"," 0.8426"," 0.6657","0.7970"," 0.6623"
"9","php"," 0.8372"," 0.7986","0.8125"," 0.2506"
"6","c#"," 0.8081"," 0.6404","0.8617","-0.1014"
"18","go"," 0.8079"," 0.6475","0.6181"," 0.6973"
"10","assembly"," 0.8062"," 0.7264","0.7401"," 0.2443"
"3","c++"," 0.7939"," 0.7495","0.8558","-0.1209"
"14","matlab"," 0.7886"," 0.8100","0.7776"," 0.1216"
"51","netlogo"," 0.7842"," 0.6035","0.3792"," 0.3769"
"45","verilog"," 0.7819"," 0.6615","0.7362"," 0.3544"
"2","c"," 0.7705"," 0.6748","0.8104","-0.2202"
"31","apex"," 0.7588"," 0.5869","0.6184"," 0.4261"
"36","julia"," 0.7511"," 0.4789","0.4440"," 0.4086"
"44","vhdl"," 0.7509"," 0.6062","0.6707"," 0.2870"
"30","f#"," 0.7465"," 0.7141","0.3085","-0.0324"
"28","rust"," 0.7172"," 0.4026","0.5046"," 0.3672"
"55","vbscript"," 0.7060"," 0.5928","0.7551","-0.0675"
"21","abap"," 0.7057"," 0.4083","0.4340"," 0.3305"
"17","swift"," 0.6980"," 0.4668","0.7703"," 0.4146"
"34","labview"," 0.6670"," 0.3253","0.5052"," 0.2864"
"49","common-lisp"," 0.6552"," 0.6048","0.3901","-0.0590"
"29","ada"," 0.6459"," 0.4258","0.2424"," 0.1006"
"42","elixir"," 0.6419"," 0.3897","0.5105"," 0.5862"
"15","ruby"," 0.6345"," 0.6451","0.7553","-0.0969"
"25","prolog"," 0.6336"," 0.6040","0.3645"," 0.1822"
"39","clojure"," 0.6108"," 0.6774","0.5693"," 0.0224"
"47","cobol"," 0.6087"," 0.2687","0.3456","-0.0228"
"54","vb.net"," 0.5946"," 0.4042","0.7859","-0.1691"
"35","typescript"," 0.5731"," 0.2100","0.5298"," 0.6253"
"40","erlang"," 0.5295"," 0.4337","0.5159","-0.0182"
"23","dart"," 0.4525"," 0.2733","0.4094"," 0.0453"
"33","scheme"," 0.4293"," 0.3432","0.4255","-0.1196"
"48","coffeescript"," 0.4292"," 0.5905","0.3985"," 0.1248"
"32","kotlin"," 0.4281"," 0.0629","0.4398"," 0.3143"
"50","d"," 0.3887"," 0.5553","0.1879","-0.1457"
"13","perl"," 0.3306"," 0.3290","0.6526","-0.4446"
"11","objective-c"," 0.2940"," 0.5222","0.3836","-0.0602"
"12","delphi"," 0.2315"," 0.2268","0.7602","-0.1478"
"26","lisp"," 0.2073"," 0.1091","0.4594","-0.3983"
"5",".net","-0.1861","-0.1350","0.8219","-0.5385"
"46","actionscript-3","-0.2074","-0.0795","0.4175","-0.4209"
