"","language","count","positive","negative","normalized views"
"1","java"," 0.9616"," 0.9387","0.9144"," 0.9194"
"9","php"," 0.9497"," 0.8605","0.9304"," 0.8857"
"3","c++"," 0.9461"," 0.8781","0.8864"," 0.7795"
"43","html"," 0.9382"," 0.8930","0.8964"," 0.8430"
"2","c"," 0.9349"," 0.8355","0.8893"," 0.7705"
"55","vbscript"," 0.9335"," 0.7830","0.7600"," 0.7409"
"37","awk"," 0.9250"," 0.8368","0.7815"," 0.7928"
"27","lua"," 0.9217"," 0.8758","0.7715"," 0.6247"
"38","haskell"," 0.9202"," 0.9094","0.5296"," 0.3767"
"44","vhdl"," 0.9130"," 0.8519","0.6660"," 0.6458"
"6","c#"," 0.9055"," 0.7328","0.8823"," 0.7860"
"8","sql"," 0.9030"," 0.8666","0.8779"," 0.7226"
"22","fortran"," 0.8999"," 0.8053","0.6870"," 0.5409"
"41","bash"," 0.8951"," 0.9125","0.7631"," 0.6899"
"10","assembly"," 0.8937"," 0.8160","0.8506"," 0.6734"
"7","javascript"," 0.8806"," 0.8466","0.8445"," 0.7349"
"14","ruby"," 0.8775"," 0.7761","0.8980"," 0.7907"
"54","vb.net"," 0.8716"," 0.5956","0.9072"," 0.7983"
"52","plsql"," 0.8555"," 0.7421","0.8064"," 0.7139"
"45","verilog"," 0.8427"," 0.8674","0.7370"," 0.5384"
"39","clojure"," 0.8419"," 0.8110","0.5448"," 0.6103"
"20","sas"," 0.8041"," 0.7477","0.6417"," 0.3928"
"24","scala"," 0.7987"," 0.8230","0.4676"," 0.0244"
"16","groovy"," 0.7886"," 0.8100","0.7776"," 0.1216"
"49","common-lisp"," 0.7735"," 0.6929","0.5914"," 0.2191"
"30","f#"," 0.7694"," 0.6033","0.4294"," 0.0387"
"25","prolog"," 0.7503"," 0.7426","0.5630"," 0.5939"
"51","netlogo"," 0.7352"," 0.6200","0.3522","-0.0122"
"48","coffeescript"," 0.7160"," 0.7298","0.6314"," 0.7152"
"40","erlang"," 0.7066"," 0.4845","0.5275"," 0.4198"
"15","vba"," 0.7059"," 0.6511","0.6948"," 0.7234"
"33","scheme"," 0.6683"," 0.5707","0.5993"," 0.5782"
"29","ada"," 0.6660"," 0.4522","0.3548"," 0.2536"
"53","powershell"," 0.6567"," 0.6285","0.5843"," 0.5752"
"47","cobol"," 0.6472"," 0.3126","0.4349"," 0.2359"
"19","r"," 0.6399"," 0.6050","0.6757"," 0.5099"
"13","perl"," 0.6215"," 0.4401","0.8499"," 0.4867"
"34","labview"," 0.5922"," 0.2908","0.3953"," 0.0961"
"4","python"," 0.5855"," 0.5789","0.5896"," 0.2807"
"11","objective-c"," 0.5712"," 0.6387","0.7212"," 0.8123"
"50","d"," 0.5692"," 0.6162","0.2935"," 0.2539"
"18","go"," 0.5493"," 0.5711","0.3266"," 0.1255"
"31","apex"," 0.5407"," 0.5791","0.4004","-0.1305"
"17","swift"," 0.5055"," 0.3475","0.5374","-0.1760"
"36","julia"," 0.4854"," 0.3252","0.3742","-0.2821"
"28","rust"," 0.4791"," 0.2927","0.2172","-0.2010"
"12","delphi"," 0.4593"," 0.2784","0.8930"," 0.7507"
"26","lisp"," 0.4538"," 0.2388","0.6813"," 0.1897"
"21","abap"," 0.4490"," 0.3886","0.2961"," 0.1220"
"42","elixir"," 0.3831"," 0.2447","0.3200","-0.3576"
"23","dart"," 0.2451"," 0.2991","0.1338","-0.2770"
"35","typescript"," 0.1575","-0.0111","0.1836","-0.4198"
"46","actionscript-3"," 0.0304","-0.0637","0.6176"," 0.4756"
"32","kotlin","-0.0011","-0.1606","0.1074","-0.4176"
"5",".net","-0.0498","-0.1018","0.8561"," 0.2300"
