"","language","count","positive","negative","normalized views"
"12","perl"," 0.9481"," 0.9067"," 0.7733"," 0.6401"
"11","delphi"," 0.9260"," 0.8653"," 0.7442"," 0.7927"
"48","coffeescript"," 0.8905"," 0.8809"," 0.7709"," 0.7423"
"14","ruby"," 0.8689"," 0.9511"," 0.6141"," 0.8837"
"54","vb.net"," 0.8461"," 0.9154"," 0.6860"," 0.8384"
"46","actionscript-3"," 0.7936"," 0.6616"," 0.7577"," 0.6739"
"39","clojure"," 0.7870"," 0.8101"," 0.3088"," 0.6046"
"50","d"," 0.7834"," 0.7743"," 0.1494"," 0.3193"
"40","erlang"," 0.7427"," 0.7279"," 0.3805"," 0.4234"
"5",".net"," 0.7126"," 0.6325"," 0.6731"," 0.4723"
"6","c#"," 0.7121"," 0.9264"," 0.5341"," 0.8566"
"3","c++"," 0.6900"," 0.8650"," 0.4990"," 0.7421"
"55","vbscript"," 0.6883"," 0.6371"," 0.4502"," 0.6787"
"2","c"," 0.6655"," 0.8860"," 0.5414"," 0.7643"
"26","lisp"," 0.6600"," 0.6949"," 0.5006"," 0.2522"
"9","php"," 0.6557"," 0.7050"," 0.7205"," 0.8044"
"33","scheme"," 0.5830"," 0.6978"," 0.5299"," 0.4840"
"13","matlab"," 0.5712"," 0.6387"," 0.7212"," 0.8123"
"38","haskell"," 0.5665"," 0.6078"," 0.1177"," 0.2108"
"8","sql"," 0.5322"," 0.7705"," 0.5251"," 0.7490"
"1","java"," 0.5297"," 0.7224"," 0.5481"," 0.8623"
"49","common-lisp"," 0.5118"," 0.5524"," 0.4138"," 0.1501"
"27","lua"," 0.5102"," 0.5029"," 0.5093"," 0.5181"
"30","f#"," 0.4578"," 0.2874"," 0.4315","-0.1046"
"10","assembly"," 0.4503"," 0.5991"," 0.5419"," 0.4900"
"43","html"," 0.3961"," 0.4506"," 0.5239"," 0.8124"
"29","ada"," 0.3947"," 0.4788"," 0.2875"," 0.0469"
"25","prolog"," 0.3872"," 0.3904"," 0.5790"," 0.3782"
"22","fortran"," 0.3625"," 0.3657"," 0.4928"," 0.3569"
"44","vhdl"," 0.3572"," 0.4700"," 0.3121"," 0.4821"
"37","awk"," 0.3316"," 0.3540"," 0.3308"," 0.6253"
"47","cobol"," 0.3248"," 0.1934"," 0.2616"," 0.2087"
"16","groovy"," 0.2940"," 0.5222"," 0.3836","-0.0602"
"52","plsql"," 0.2842"," 0.6418"," 0.4228"," 0.7254"
"7","javascript"," 0.2750"," 0.3467"," 0.4090"," 0.6203"
"41","bash"," 0.2725"," 0.4566"," 0.2846"," 0.7310"
"45","verilog"," 0.1889"," 0.5109"," 0.3508"," 0.3229"
"24","scala"," 0.1254"," 0.3120","-0.0899","-0.1631"
"34","labview"," 0.0978"," 0.0167"," 0.1402"," 0.0400"
"20","sas"," 0.0738"," 0.1339"," 0.1238"," 0.2025"
"51","netlogo"," 0.0204","-0.0078"," 0.1757","-0.2747"
"15","vba","-0.0541","-0.0079"," 0.1939"," 0.5509"
"53","powershell","-0.0821"," 0.0085"," 0.0259"," 0.3650"
"21","abap","-0.0960"," 0.0865"," 0.0221","-0.0745"
"31","apex","-0.1207"," 0.0670"," 0.0212","-0.3193"
"19","r","-0.1236","-0.0869"," 0.1552"," 0.2377"
"4","python","-0.1353","-0.0586"," 0.0549","-0.0220"
"23","dart","-0.1409","-0.1011","-0.1205","-0.4676"
"18","go","-0.2342","-0.1565","-0.1787","-0.1481"
"17","swift","-0.2814","-0.3157","-0.0384","-0.1806"
"36","julia","-0.3041","-0.3849","-0.0044","-0.5041"
"28","rust","-0.3106","-0.4037","-0.2289","-0.4440"
"42","elixir","-0.3682","-0.3667","-0.1851","-0.5259"
"32","kotlin","-0.5096","-0.5969","-0.3156","-0.6234"
"35","typescript","-0.5124","-0.5785","-0.3004","-0.6358"
