"","language","count","positive","negative","normalized views"
"19","go"," 0.9422"," 0.8657"," 0.8987"," 0.6590"
"18","swift"," 0.9296"," 0.8953"," 0.7524"," 0.5635"
"36","julia"," 0.9168"," 0.8976"," 0.4986"," 0.7929"
"20","r"," 0.9154"," 0.8592"," 0.6830"," 0.5274"
"53","powershell"," 0.9046"," 0.7812"," 0.7347"," 0.2113"
"16","vba"," 0.8989"," 0.7899"," 0.7216"," 0.1239"
"4","python"," 0.8965"," 0.8128"," 0.8116"," 0.5117"
"21","sas"," 0.8331"," 0.6720"," 0.5702"," 0.4853"
"25","scala"," 0.8284"," 0.6483"," 0.7951"," 0.6277"
"42","elixir"," 0.8267"," 0.7882"," 0.5181"," 0.6270"
"35","typescript"," 0.8206"," 0.7689"," 0.8682"," 0.5289"
"51","netlogo"," 0.8020"," 0.6946"," 0.2652"," 0.8038"
"31","apex"," 0.7729"," 0.5217"," 0.3849"," 0.5595"
"7","javascript"," 0.7604"," 0.6266"," 0.5783"," 0.0654"
"41","bash"," 0.7454"," 0.5092"," 0.6490","-0.4337"
"22","abap"," 0.7341"," 0.4223"," 0.5939"," 0.3017"
"17","groovy"," 0.7172"," 0.4026"," 0.5046"," 0.3672"
"52","plsql"," 0.7026"," 0.1494"," 0.3829","-0.3301"
"45","verilog"," 0.6983"," 0.2579"," 0.5270"," 0.2201"
"32","kotlin"," 0.6825"," 0.6155"," 0.8814"," 0.5553"
"23","fortran"," 0.6745"," 0.5332"," 0.3247"," 0.3557"
"37","awk"," 0.6736"," 0.5066"," 0.5306","-0.1085"
"43","html"," 0.6656"," 0.5415"," 0.4740","-0.2456"
"34","labview"," 0.6605"," 0.4429"," 0.3971"," 0.2504"
"44","vhdl"," 0.5881"," 0.3242"," 0.3574"," 0.1092"
"1","java"," 0.5718"," 0.2706"," 0.4604","-0.2165"
"24","dart"," 0.5595"," 0.4570"," 0.8079"," 0.4927"
"10","assembly"," 0.5311"," 0.2542"," 0.3593"," 0.1015"
"28","lua"," 0.5293"," 0.3823"," 0.3882"," 0.0382"
"38","haskell"," 0.5188"," 0.3892"," 0.6630"," 0.4797"
"30","f#"," 0.4845"," 0.4759"," 0.1919"," 0.4105"
"14","matlab"," 0.4791"," 0.2927"," 0.2172","-0.2010"
"8","sql"," 0.4777"," 0.0737"," 0.5213","-0.4645"
"9","php"," 0.4369"," 0.2552"," 0.3459","-0.1702"
"26","prolog"," 0.4192"," 0.3685","-0.0493"," 0.1605"
"47","cobol"," 0.4172"," 0.1268"," 0.2590","-0.0270"
"29","ada"," 0.4035"," 0.0135"," 0.1830"," 0.4326"
"2","c"," 0.3765","-0.0739"," 0.4028","-0.3961"
"3","c++"," 0.3763","-0.0033"," 0.5168","-0.2333"
"49","common-lisp"," 0.3737"," 0.1835"," 0.0474"," 0.2370"
"6","c#"," 0.3669","-0.1956"," 0.5005","-0.4796"
"55","vbscript"," 0.3067"," 0.1229"," 0.4119","-0.4179"
"39","clojure"," 0.1659","-0.0162"," 0.3026","-0.0631"
"15","ruby"," 0.1347","-0.1850"," 0.2789","-0.4366"
"40","erlang"," 0.0950","-0.2057"," 0.2125","-0.0707"
"54","vb.net"," 0.0899","-0.4777"," 0.3326","-0.4758"
"33","scheme"," 0.0666","-0.1968"," 0.0239","-0.1471"
"50","d","-0.0962","-0.1918"," 0.1575","-0.0187"
"48","coffeescript","-0.1064","-0.2306","-0.1551","-0.2798"
"27","lisp","-0.2004","-0.5539"," 0.0749","-0.2450"
"13","perl","-0.2584","-0.5475"," 0.0900","-0.5951"
"11","objective-c","-0.3106","-0.4037","-0.2289","-0.4440"
"12","delphi","-0.3461","-0.6282"," 0.2333","-0.2985"
"5",".net","-0.6570","-0.8096"," 0.4152","-0.6792"
"46","actionscript-3","-0.7084","-0.7728","-0.1479","-0.6805"
