"","language","count","positive","negative","normalized views"
"2","c"," 0.7804"," 0.7814"," 0.6006"," 0.6838"
"27","lisp"," 0.7632"," 0.6581"," 0.6420"," 0.4774"
"10","assembly"," 0.7480"," 0.6599"," 0.6166"," 0.5848"
"3","c++"," 0.7420"," 0.7285"," 0.5622"," 0.6828"
"26","prolog"," 0.7231"," 0.5714"," 0.4503"," 0.5885"
"54","vb.net"," 0.6978"," 0.6784"," 0.5580"," 0.5750"
"38","haskell"," 0.6860"," 0.5472"," 0.4158"," 0.4532"
"39","clojure"," 0.6800"," 0.6634"," 0.3803"," 0.4963"
"15","ruby"," 0.6767"," 0.7182"," 0.5431"," 0.5363"
"49","common-lisp"," 0.6743"," 0.5184"," 0.5912"," 0.3302"
"40","erlang"," 0.6735"," 0.5719"," 0.4723"," 0.2853"
"6","c#"," 0.6701"," 0.7142"," 0.5105"," 0.5725"
"14","matlab"," 0.6683"," 0.5707"," 0.5993"," 0.5782"
"9","php"," 0.6494"," 0.5872"," 0.5891"," 0.4904"
"1","java"," 0.6487"," 0.6328"," 0.5718"," 0.5634"
"44","vhdl"," 0.6320"," 0.5509"," 0.4131"," 0.3156"
"55","vbscript"," 0.6195"," 0.5531"," 0.4491"," 0.4146"
"13","perl"," 0.6101"," 0.6249"," 0.5229"," 0.4984"
"8","sql"," 0.6017"," 0.6528"," 0.5384"," 0.5236"
"11","objective-c"," 0.5830"," 0.6978"," 0.5299"," 0.4840"
"31","f#"," 0.5767"," 0.2891"," 0.3785"," 0.3571"
"48","coffeescript"," 0.5766"," 0.6335"," 0.5024"," 0.3474"
"45","verilog"," 0.5739"," 0.5105"," 0.4783"," 0.3706"
"28","lua"," 0.5648"," 0.4125"," 0.4352"," 0.3594"
"12","delphi"," 0.5558"," 0.6010"," 0.5534"," 0.5703"
"30","ada"," 0.5475"," 0.5047"," 0.2571"," 0.4003"
"37","awk"," 0.5425"," 0.3763"," 0.4499"," 0.5526"
"52","plsql"," 0.5363"," 0.6088"," 0.4376"," 0.4294"
"43","html"," 0.5354"," 0.4095"," 0.5509"," 0.4502"
"23","fortran"," 0.5284"," 0.3703"," 0.3481"," 0.3326"
"41","bash"," 0.5144"," 0.4493"," 0.4434"," 0.5012"
"50","d"," 0.5001"," 0.4732"," 0.1047"," 0.2094"
"47","cobol"," 0.4982"," 0.2744"," 0.2959"," 0.2073"
"7","javascript"," 0.4759"," 0.3597"," 0.4832"," 0.3773"
"17","groovy"," 0.4293"," 0.3432"," 0.4255","-0.1196"
"25","scala"," 0.4121"," 0.3250"," 0.2247","-0.1399"
"21","sas"," 0.3657"," 0.1435"," 0.3040"," 0.0590"
"46","actionscript-3"," 0.3142"," 0.4108"," 0.4966"," 0.4126"
"51","netlogo"," 0.3074","-0.0031"," 0.2537","-0.0003"
"34","labview"," 0.2941"," 0.0818"," 0.2596"," 0.0481"
"5",".net"," 0.2725"," 0.3755"," 0.4769"," 0.3144"
"16","vba"," 0.2632"," 0.1060"," 0.3694"," 0.3258"
"20","r"," 0.2549"," 0.0768"," 0.4063"," 0.2081"
"53","powershell"," 0.2546"," 0.1053"," 0.2697"," 0.1526"
"4","python"," 0.2483"," 0.1033"," 0.3051"," 0.1637"
"22","abap"," 0.1776"," 0.2770"," 0.1525"," 0.0900"
"32","apex"," 0.1653","-0.0045"," 0.1125","-0.1822"
"19","go"," 0.1581","-0.0168"," 0.1102","-0.0966"
"36","julia"," 0.1054","-0.1963"," 0.1289","-0.2158"
"18","swift"," 0.0906","-0.1516"," 0.2101","-0.3077"
"42","elixir"," 0.0799","-0.1422"," 0.2047","-0.2827"
"29","rust"," 0.0666","-0.1968"," 0.0239","-0.1471"
"24","dart"," 0.0661"," 0.0155","-0.0552","-0.1043"
"35","typescript","-0.0505","-0.2811"," 0.0187","-0.2872"
"33","kotlin","-0.1402","-0.3311","-0.0284","-0.2545"
