date,count,normalized viewcount,positive,negative,total viewcount
2008-08,219,78074,214,0,9915490
2008-09,1139,424171,1072,7,53445588
2008-10,1152,315452,1049,5,39431557
2008-11,960,261695,861,4,32450269
2008-12,833,171787,750,6,21129815
2009-01,1153,235361,1014,10,28714161
2009-02,1207,273168,1038,7,33053417
2009-03,1442,236603,1192,18,28392361
2009-04,1535,200308,1305,11,23836765
2009-05,1823,326782,1543,13,38560323
2009-06,2117,367905,1738,18,43044969
2009-07,2268,371121,1834,24,43050148
2009-08,2194,267461,1729,21,30758048
2009-09,2266,285561,1761,30,32554030
2009-10,2510,285427,1876,41,32253324
2009-11,2765,321844,2041,48,36046584
2009-12,2691,286269,1971,49,31775883
2010-01,3732,426922,3042,74,46961425
2010-02,3585,378043,2978,44,41206696
2010-03,4452,487574,3462,64,52658091
2010-04,3898,462342,3060,49,49470653
2010-05,4183,461725,3343,48,48942904
2010-06,4297,362436,3466,58,38055800
2010-07,4526,358050,3482,63,37237302
2010-08,4718,470539,3658,48,48465546
2010-09,4724,446521,3579,61,45545144
2010-10,5040,446307,3723,71,45077073
2010-11,5612,511324,4187,82,51132451
2010-12,5689,492782,4069,98,48785508
2011-01,6569,580823,4921,88,56920735
2011-02,6911,615552,4866,94,59708638
2011-03,8527,736015,5661,135,70657466
2011-04,7941,716800,5329,153,68096068
2011-05,8605,708233,5986,181,66573967
2011-06,7958,566048,5498,211,52642494
2011-07,8195,575639,5551,225,52958845
2011-08,8730,579569,6059,237,52740842
2011-09,8366,640904,5780,290,57681391
2011-10,8592,582636,5665,296,51854615
2011-11,9689,611941,6440,335,53850872
2011-12,9256,566651,6039,417,49298716
2012-01,10209,689189,6767,420,59270319
2012-02,11071,635506,7029,495,54018019
2012-03,12519,723106,7688,558,60740983
2012-04,12141,686767,7398,562,57001685
2012-05,12285,737047,7554,626,60437900
2012-06,11186,681155,6859,522,55173593
2012-07,12330,683049,7389,515,54643964
2012-08,12311,724315,7432,499,57220893
2012-09,11670,646068,7308,518,50393326
2012-10,13561,772040,8326,648,59447089
2012-11,13674,682602,8367,685,51877797
2012-12,12479,632988,7431,915,47474164
2013-01,13808,750850,7987,1005,55562935
2013-02,13884,723527,7504,990,52817540
2013-03,16057,845349,8449,1232,60865140
2013-04,16372,869318,8175,1202,61721642
2013-05,15442,757042,7768,1215,52993006
2013-06,14075,673285,7196,1032,46456666
2013-07,15311,769052,7689,1212,52295593
2013-08,15148,839627,7795,1123,56255026
2013-09,16359,805293,7753,1240,53149348
2013-10,18879,920961,8567,1524,59862473
2013-11,18881,801415,8534,1329,51290603
2013-12,17573,689216,7979,1346,43420627
2014-01,18813,722085,8448,1591,44769327
2014-02,19426,660142,8208,1668,40268681
2014-03,22175,753115,9311,1611,45186920
2014-04,21068,649760,8223,1870,38335890
2014-05,18129,540823,7119,2171,31367759
2014-06,16059,523925,6523,1781,29863727
2014-07,17518,568185,7416,1764,31818368
2014-08,15853,491207,6785,1473,27016387
2014-09,16866,527181,6959,1681,28467787
2014-10,18059,567461,7177,1866,30075477
2014-11,18003,503053,7155,1764,26158798
2014-12,16525,458225,7077,1754,23369495
2015-01,16685,506102,7290,1692,25305123
2015-02,16880,508477,7098,1820,24915413
2015-03,19895,555670,8367,2044,26672198
2015-04,19929,553675,9557,1998,26022734
2015-05,18665,533606,9201,1901,24545912
2015-06,17965,505249,8703,1827,22736246
2015-07,18806,495319,9325,1762,21794053
2015-08,17186,473089,8345,1777,20342850
2015-09,17056,487383,8150,1809,20470104
2015-10,18648,467662,8471,1987,19174174
2015-11,17902,396485,8006,1883,15859423
2015-12,16659,379549,7993,1800,14802446
2016-01,16741,414722,7772,1815,15759443
2016-02,17963,441549,7824,1937,16337346
2016-03,20052,480833,8530,2003,17310007
2016-04,19622,467342,8205,1967,16356992
2016-05,17186,408158,6989,1880,13877375
2016-06,16040,420777,6589,1939,13885661
2016-07,15055,375424,6295,1621,12013594
2016-08,15285,387448,6709,1703,12010907
2016-09,14785,363182,6128,1862,10895473
2016-10,15451,378530,6021,2000,10977390
2016-11,15765,344276,5956,2076,9639738
2016-12,13943,324177,5395,1748,8752787
2017-01,14670,379276,6057,1740,9861182
2017-02,14671,351981,5580,2009,8799526
2017-03,17455,451239,6223,2414,10829742
2017-04,16046,413837,5781,2224,9518251
2017-05,16475,389578,6004,2100,8570727
2017-06,14735,356247,5285,1958,7481193
2017-07,14268,352310,5406,1796,7046205
2017-08,13824,351826,5558,1727,6684699
2017-09,12870,310448,4930,1719,5588072
2017-10,14131,335660,4904,2073,5706220
2017-11,14333,319097,4937,1997,5105552
2017-12,12113,267577,4183,1837,4013662
2018-01,12446,286701,4482,1770,4013817
2018-02,12294,263770,4202,1686,3429018
2018-03,15375,329137,4846,1931,3949652
2018-04,15337,295455,4759,1796,3250005
2018-05,15466,296778,4590,1677,2967788
2018-06,13446,267464,4156,1586,2407179
2018-07,13577,251554,4005,1564,2012438
2018-08,12909,236917,4211,1397,1658419
2018-09,12356,253320,3749,1385,1519920
2018-10,14556,270511,3990,1717,1352557
2018-11,13632,315756,4003,1443,1263024
2018-12,12155,263496,3648,1205,790488
2019-01,13034,337773,3917,1367,675547
2019-02,14453,592613,3578,2756,592613
