date,count,normalized viewcount,positive,negative,total viewcount,tiobe rating
2008-09,2,95,2,0,12011,0.640
2008-10,2,232,2,0,29070,0.600
2008-11,1,5,1,0,724,0.729
2008-12,0,0,0,0,0,0.450
2009-01,0,0,0,0,0,0.797
2009-02,15,618,12,1,74825,0.835
2009-03,13,471,10,0,56552,0.796
2009-04,8,466,7,0,55524,0.792
2009-05,9,244,8,0,28892,0.801
2009-06,14,533,12,1,62373,0.759
2009-07,8,907,7,0,105297,0.794
2009-08,4,205,4,0,23663,0.817
2009-09,15,934,14,0,106572,0.781
2009-10,17,1043,14,0,117911,0.801
2009-11,4,44,4,0,5034,0.816
2009-12,5,73,3,0,8189,0.911
2010-01,7,204,4,0,22538,0.809
2010-02,5,53,5,0,5783,0.771
2010-03,10,732,7,0,79098,0.769
2010-04,5,185,3,0,19825,0.717
2010-05,4,102,3,0,10876,0.732
2010-06,7,64,4,0,6785,0.732
2010-07,9,758,6,0,78893,0.701
2010-08,11,229,8,0,23641,0.701
2010-09,8,775,8,0,79092,0.635
2010-10,4,68,4,0,6949,0.664
2010-11,11,164,9,0,16453,0.669
2010-12,7,176,7,0,17452,0.643
2011-01,18,430,17,0,42163,0.771
2011-02,22,778,17,0,75505,0.474
2011-03,28,1483,23,0,142401,0.452
2011-04,10,1285,10,0,122162,0.492
2011-05,19,528,15,0,49669,0.443
2011-06,17,501,12,0,46682,0.474
2011-07,12,436,7,0,40128,0.414
2011-08,17,427,7,1,38865,0.414
2011-09,11,273,8,1,24592,0.504
2011-10,18,1343,14,0,119587,0.517
2011-11,26,779,17,1,68590,0.386
2011-12,23,925,15,0,80515,0.417
2012-01,25,1558,20,1,134014,0.338
2012-02,24,1104,14,0,93863,0.239
2012-03,50,1222,26,1,102654,0.412
2012-04,36,1221,21,1,101374,0.479
2012-05,26,790,13,0,64791,0.456
2012-06,36,1284,22,2,104023,0.534
2012-07,43,2988,27,0,239056,0.549
2012-08,30,1335,17,1,105485,0.525
2012-09,45,1780,22,5,138899,0.528
2012-10,34,1071,27,2,82504,0.557
2012-11,49,1559,34,1,118553,0.577
2012-12,25,526,19,0,39478,0.556
2013-01,61,2909,48,2,215326,0.571
2013-02,59,1621,30,3,118339,0.569
2013-03,57,3532,43,0,254323,0.617
2013-04,50,2435,25,1,172923,0.634
2013-05,61,2175,33,3,152306,0.587
2013-06,75,5123,45,1,353543,0.543
2013-07,102,4009,68,8,272620,0.562
2013-08,110,5347,69,7,358272,0.580
2013-09,108,3410,68,5,225096,0.627
2013-10,100,3160,51,2,205415,0.543
2013-11,107,1760,36,5,112657,0.519
2013-12,114,3362,58,8,211821,0.562
2014-01,126,2916,62,7,180844,0.583
2014-02,138,3989,68,4,243335,0.508
2014-03,130,1816,62,3,108972,0.676
2014-04,149,2009,92,11,118545,0.688
2014-05,116,3391,69,2,196729,0.521
2014-06,121,3261,61,4,185912,0.308
2014-07,180,3035,102,5,170011,0.684
2014-08,125,3998,66,7,219936,0.703
2014-09,151,3035,74,5,163913,0.780
2014-10,146,3841,77,4,203591,0.679
2014-11,137,3150,66,7,163825,0.780
2014-12,117,3976,68,8,202825,0.843
2015-01,125,4080,65,7,204023,0.742
2015-02,150,2366,77,14,115981,0.832
2015-03,138,2352,78,9,112919,0.936
2015-04,162,2424,83,6,113962,1.001
2015-05,160,2490,73,11,114577,0.707
2015-06,194,3612,105,15,162548,0.787
2015-07,161,2738,82,12,120497,1.086
2015-08,153,1922,77,15,82674,0.869
2015-09,156,2264,72,16,95096,0.974
2015-10,175,1801,68,16,73870,0.835
2015-11,163,3693,75,7,147750,0.896
2015-12,128,1583,59,8,61750,0.695
2016-01,167,1627,70,7,61837,0.968
2016-02,165,1851,69,12,68504,0.984
2016-03,168,1999,46,13,71991,1.073
2016-04,146,1796,48,8,62884,0.928
2016-05,184,3372,80,8,114673,0.958
2016-06,153,1880,41,10,62046,0.842
2016-07,144,1775,55,10,56818,1.035
2016-08,167,1804,53,26,55939,1.111
2016-09,149,1244,56,8,37342,1.267
2016-10,164,1796,43,10,52105,1.443
2016-11,175,2018,49,18,56531,1.354
2016-12,173,1329,45,12,35884,1.380
2017-01,132,1737,52,10,45184,1.419
2017-02,149,1831,44,13,45781,1.464
2017-03,185,2443,60,18,58649,1.285
2017-04,137,1565,39,8,36002,1.513
2017-05,137,1539,39,17,33875,1.472
2017-06,158,1570,53,21,32987,1.534
2017-07,146,1237,51,22,24759,1.492
2017-08,151,1115,44,14,21193,1.199
2017-09,119,1267,39,23,22813,1.372
2017-10,131,1325,44,19,22541,1.296
2017-11,137,1412,60,15,22598,1.212
2017-12,105,1242,49,15,18639,1.346
2018-01,125,1457,53,17,20399,1.419
2018-02,137,1916,46,12,24918,1.112
2018-03,191,2120,50,15,25444,1.905
2018-04,168,1635,78,18,17986,1.905
2018-05,160,2132,68,15,21323,1.905
2018-06,104,1475,28,7,13281,1.905
2018-07,107,1184,28,15,9476,1.905
2018-08,125,1524,47,16,10668,1.905
2018-09,124,1301,38,15,7806,1.905
2018-10,177,2009,66,16,10046,1.905
2018-11,170,2362,64,13,9449,1.905
2018-12,103,1687,21,14,5062,1.905
2019-01,115,2440,28,11,4881,1.905
2019-02,113,3881,26,10,3881,1.905
