date,count,normalized viewcount,positive,negative,total viewcount,tiobe rating
2008-08,5,3877,5,0,492474,0
2008-09,68,28541,64,0,3596259,0
2008-10,66,14695,57,0,1836963,0
2008-11,50,12330,42,0,1528947,0
2008-12,63,9459,49,1,1163558,0
2009-01,57,12061,49,2,1471551,0
2009-02,68,14928,52,1,1806364,0
2009-03,85,10616,72,0,1273925,0
2009-04,86,6811,60,0,810614,0
2009-05,91,14560,65,0,1718150,0
2009-06,113,22772,86,1,2664415,0
2009-07,175,14170,110,1,1643797,0
2009-08,108,8459,67,0,972883,0
2009-09,127,15273,86,2,1741135,0
2009-10,127,18243,87,1,2061553,0
2009-11,168,17346,115,2,1942799,0
2009-12,137,13388,80,2,1486120,0
2010-01,136,15634,85,1,1719788,0
2010-02,128,15093,96,1,1645150,0
2010-03,159,12285,122,1,1326861,0
2010-04,152,19991,102,1,2139044,0
2010-05,175,28983,114,3,3072222,0
2010-06,202,29377,131,8,3084689,0
2010-07,218,25009,136,3,2600990,0
2010-08,194,14568,119,3,1500515,0
2010-09,192,19488,109,7,1987788,0
2010-10,192,32132,131,1,3245367,0
2010-11,212,21713,128,2,2171343,0
2010-12,166,20696,95,0,2048909,0
2011-01,187,15096,119,1,1479423,0
2011-02,183,17333,120,3,1681358,0
2011-03,292,35922,177,11,3448545,0
2011-04,262,31761,165,3,3017384,0
2011-05,283,39782,168,10,3739570,0
2011-06,292,31111,173,15,2893350,0
2011-07,280,35397,190,4,3256546,0
2011-08,313,39054,179,13,3553950,0
2011-09,343,33944,195,17,3055028,0
2011-10,371,42323,228,8,3766808,0
2011-11,319,39059,191,6,3437232,0
2011-12,318,40910,197,12,3559192,0
2012-01,369,52134,228,9,4483547,0
2012-02,432,59430,261,15,5051623,0
2012-03,450,53884,293,14,4526316,0
2012-04,385,58722,295,10,4873999,0
2012-05,508,53313,331,6,4371693,0
2012-06,462,64648,282,13,5236564,0
2012-07,637,98243,403,18,7859464,0
2012-08,602,84210,360,20,6652592,0
2012-09,579,67153,333,27,5237982,0
2012-10,689,95243,402,26,7333724,0
2012-11,623,59471,402,18,4519867,0
2012-12,645,48787,379,43,3659059,0
2013-01,686,72046,354,32,5331469,0
2013-02,748,65114,396,35,4753384,0
2013-03,852,89123,432,40,6416883,0
2013-04,905,81473,492,46,5784624,0
2013-05,899,78336,459,61,5483580,0
2013-06,1046,99785,519,60,6885224,0
2013-07,1172,124773,536,70,8484631,0
2013-08,1080,93919,504,62,6292630,0
2013-09,1006,90840,462,82,5995477,0
2013-10,1295,132733,599,75,8627672,0
2013-11,1225,97195,592,54,6220518,0
2013-12,1127,92294,532,66,5814540,0
2014-01,1438,83139,592,127,5154661,0
2014-02,1423,95202,603,99,5807373,0
2014-03,1495,87106,587,62,5226361,0
2014-04,1295,51732,479,93,3052229,0
2014-05,1333,61008,471,160,3538521,0
2014-06,1371,63675,435,144,3629522,0
2014-07,1529,66699,509,157,3735162,0
2014-08,1335,61419,451,134,3378080,2.014
2014-09,1208,53060,391,137,2865246,1.272
2014-10,1409,61509,473,162,3260022,1.564
2014-11,1250,48176,440,122,2505195,1.657
2014-12,1207,52244,440,134,2664457,1.802
2015-01,1479,52813,485,138,2640665,1.074
2015-02,1512,48388,479,147,2371023,1.718
2015-03,1739,55064,532,179,2643076,1.949
2015-04,1700,52324,617,133,2459239,2.199
2015-05,1735,48747,655,139,2242392,1.893
2015-06,2118,60799,811,157,2735968,1.839
2015-07,2239,73465,925,129,3232485,1.946
2015-08,2083,59616,839,150,2563499,1.781
2015-09,1690,38250,712,151,1606529,1.532
2015-10,1810,42784,714,145,1754161,1.515
2015-11,1737,35427,737,168,1417112,1.681
2015-12,1591,34725,671,126,1354298,1.654
2016-01,1847,44280,682,133,1682662,1.684
2016-02,1904,42865,724,167,1586012,1.855
2016-03,2000,43815,758,158,1577374,1.674
2016-04,1875,51806,630,140,1813241,1.607
2016-05,1961,46669,675,202,1586756,1.828
2016-06,2330,49233,768,181,1624715,2.254
2016-07,2156,43414,677,200,1389270,2.012
2016-08,2043,44344,742,224,1374666,2.046
2016-09,1696,33149,562,189,994488,1.761
2016-10,1846,33089,481,167,959581,1.987
2016-11,1891,40875,515,156,1144527,1.923
2016-12,1770,37980,558,169,1025480,1.967
2017-01,2167,47272,724,209,1229072,1.912
2017-02,1895,49063,767,169,1226578,1.875
2017-03,2460,49877,1008,176,1197063,2.008
2017-04,2036,42620,813,199,980277,2.058
2017-05,2153,43214,637,217,950722,2.347
2017-06,2350,45840,702,225,962644,2.011
2017-07,2483,51254,746,191,1025095,2.096
2017-08,2369,42921,771,209,815507,1.809
2017-09,1997,38496,692,182,692929,1.751
2017-10,2201,47291,606,202,803960,1.420
2017-11,2030,40227,595,206,643634,1.489
2017-12,1678,33948,497,206,509234,1.347
2018-01,2080,37730,650,226,528227,2.314
2018-02,1856,33788,563,192,439251,2.177
2018-03,2117,33532,589,270,402388,1.741
2018-04,2076,33178,518,232,364968,1.798
2018-05,2217,32774,618,262,327742,0.915
2018-06,2197,31464,583,244,283183,1.154
2018-07,2048,33341,686,194,266728,0.885
2018-08,1879,25731,534,199,180118,0.922
2018-09,1505,19440,442,150,116645,0.682
2018-10,2015,25932,614,232,129663,0.652
2018-11,1925,27247,545,234,108989,0.854
2018-12,1476,25131,432,180,75394,0.979
2019-01,2116,43292,495,206,86585,1.029
2019-02,2180,76166,400,486,76166,0.991
